eventHyperlink,eventLink,location 
http://ufcstats.com/event-details/caced97768818230,"UFC Fight Night: Werdum vs. TyburaNovember 18, 2017","Sydney, New South Wales, Australia"
http://ufcstats.com/event-details/d856a0080ac09ed7,"UFC Fight Night: Poirier vs. PettisNovember 11, 2017","Norfolk, Virginia, USA"
http://ufcstats.com/event-details/a25b71fe5e31fa97,"UFC 217: Bisping vs. St-PierreNovember 04, 2017","New York City, New York, USA"
http://ufcstats.com/event-details/a7724f51e32e763e,"UFC Fight Night: Brunson vs. MachidaOctober 28, 2017","Sao Paulo, Sao Paulo, Brazil"
http://ufcstats.com/event-details/d6b68eaf4b68b160,"UFC Fight Night: Cerrone vs. TillOctober 21, 2017","Gdansk, Poland"
http://ufcstats.com/event-details/cc5834a495d1ea08,"UFC 216: Ferguson vs. LeeOctober 07, 2017","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/9211aae062b799d6,"UFC Fight Night: Saint Preux vs. OkamiSeptember 22, 2017","Saitama, Saitama, Japan"
http://ufcstats.com/event-details/1979c80150f630c4,"UFC Fight Night: Rockhold vs. BranchSeptember 16, 2017","Pittsburgh, Pennsylvania, USA"
http://ufcstats.com/event-details/d86e913c548c07c2,"UFC 215: Nunes vs Shevchenko 2September 09, 2017","Edmonton, Alberta, Canada"
http://ufcstats.com/event-details/a3244e3238541482,"UFC Fight Night: Volkov vs. StruveSeptember 02, 2017","Rotterdam, Zuid-Holland, Netherlands"
http://ufcstats.com/event-details/f4a031ac205ac580,"UFC Fight Night: Pettis vs. MorenoAugust 05, 2017","Mexico City, Distrito Federal, Mexico"
http://ufcstats.com/event-details/ff9578cdbfabd323,"UFC 214: Cormier vs. Jones 2July 29, 2017","Anaheim, California, USA"
http://ufcstats.com/event-details/9f3d6ddef3d3cccc,"UFC Fight Night: Weidman vs. GastelumJuly 22, 2017","Uniondale, New York, USA"
http://ufcstats.com/event-details/d7907a9a968e4d29,"UFC Fight Night: Nelson vs. PonzinibbioJuly 16, 2017","Glasgow, Scotland, United Kingdom"
http://ufcstats.com/event-details/686cccbf1a4de453,"UFC 213: Romero vs. WhittakerJuly 08, 2017","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/23bd78c3f89bdb54,"The Ultimate Fighter: Redemption FinaleJuly 07, 2017","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/99bf06f20491cb54,"UFC Fight Night: Chiesa vs. LeeJune 25, 2017","Oklahoma City, Oklahoma, USA"
http://ufcstats.com/event-details/353de740bb6c7e75,"UFC Fight Night: Holm vs. CorreiaJune 17, 2017","Kallang, Singapore"
http://ufcstats.com/event-details/90e7447d8b7f3f35,"UFC Fight Night: Lewis vs. HuntJune 10, 2017","Auckland, New Zealand"
http://ufcstats.com/event-details/1507214bbc7a79e2,"UFC 212: Aldo vs. HollowayJune 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil"
http://ufcstats.com/event-details/1c7cce2f5c17160d,"UFC Fight Night: Gustafsson vs. TeixeiraMay 28, 2017","Stockholm, Sweden"
http://ufcstats.com/event-details/5df10509264586e5,"UFC 211: Miocic vs. Dos SantosMay 13, 2017","Dallas, Texas, USA"
http://ufcstats.com/event-details/bc7f7f0ba3db74d2,"UFC Fight Night: Swanson vs. LobovApril 22, 2017","Nashville, Tennessee, USA"
http://ufcstats.com/event-details/ed069a95aaaf4f56,"UFC on FOX: Johnson vs. ReisApril 15, 2017","Kansas City, Missouri, USA"
http://ufcstats.com/event-details/e7bfdb5e0112891e,"UFC 210: Cormier vs. Johnson 2April 08, 2017","Buffalo, New York, USA"
http://ufcstats.com/event-details/c0231720fe516994,"UFC Fight Night: Manuwa vs. AndersonMarch 18, 2017","London, England, United Kingdom"
